0,1,3,4
"(In millions, except percentages and per share amounts)",2023,2022,Percentage Change
Gross margin,"$ 146,052","$ 135,620",8%
"Severance, hardware-related impairment, and lease consolidation costs",152,0,*
Adjusted gross margin (non-GAAP),"$ 146,204","$ 135,620",8%
Operating income,"$ 88,523","$ 83,383",6%
"Severance, hardware-related impairment, and lease consolidation costs",1171,0,*
Adjusted operating income (non-GAAP),"$ 89,694","$ 83,383",8%
Net income,"$ 72,361","$ 72,738",(1)%
"Severance, hardware-related impairment, and lease consolidation costs",946,0,*
Net income tax benefit related to transfer of intangible properties,0,"(3,291)",*
Adjusted net income (non-GAAP),"$ 73,307","$ 69,447",6%
Diluted earnings per share,$ 9.68,$ 9.65,0%
"Severance, hardware-related impairment, and lease consolidation costs",0.13,0,*
Net income tax benefit related to transfer of intangible properties,0,(0.44),*
Adjusted diluted earnings per share (non-GAAP),$ 9.81,$ 9.21,7%
