0,1,2,3,4,5
(In millions),,,,,
"Year Ended June 30,",2024,,2023,,2022
Operating lease cost,"$ 3,555",,"$ 2,875",,"$ 2,461"
Finance lease cost:,,,,,
Amortization of right-of-use assets,"$ 1,800",,"$ 1,352",,$ 980
Interest on lease liabilities,734,,501,,429
Total finance lease cost,"$ 2,534",,"$ 1,853",,"$ 1,409"
Supplemental cash flow information related to leases was as follows:,Supplemental cash flow information related to leases was as follows:,Supplemental cash flow information related to leases was as follows:,Supplemental cash flow information related to leases was as follows:,Supplemental cash flow information related to leases was as follows:,Supplemental cash flow information related to leases was as follows:
(In millions),,,,,
"Year Ended June 30,",2024,,2023,,2022
Cash paid for amounts included in the measurement of lease liabilities:,,,,,
Operating cash flows from operating leases,"$ 3,550",,"$ 2,706",,"$ 2,368"
Operating cash flows from finance leases,734,,501,,429
Financing cash flows from finance leases,1286,,1056,,896
Right-of-use assets obtained in exchange for lease obligations:,,,,,
Operating leases,6703,,3514,,5268
Finance leases,11633,,3128,,4234
